№,Название,Авторы,Журнал,Выпуск,Дата публикации,Ссылка
2246,Using computational essays to foster disciplinary epistemic agency in undergraduatescience,"Tor Ole B. Odden, Devin W. Silvia, Anders Malthe-Sørenssen",Journal of Research inScienceTeaching,"Volume 60, Issue 5",First published:27 September 2022,https://onlinelibrary.wiley.com/doi/10.1002/tea.21821
2247,Serendipitousscienceengagement: A family self-ethnography,Dana Vedder-Weiss,Journal of Research inScienceTeaching,"Volume 54, Issue 3",First published:20 October 2016,https://onlinelibrary.wiley.com/doi/10.1002/tea.21369
2248,Portraying realscienceinsciencecommunication,Esther M. van Dijk,ScienceEducation,"Volume 95, Issue 6",First published:21 June 2011,https://onlinelibrary.wiley.com/doi/10.1002/sce.20458
2249,Scientific Literacy and Public Understandings ofScience,Conor M. W. Douglas,N/A,N/A,First published:15 February 2007,https://onlinelibrary.wiley.com/doi/10.1002/9781405165518.wbeoss049
2250,Women in the Profession: The Composition of UK PoliticalScienceDepartments by Sex,"Stephen Bates, Laura Jenkins, Zoe Pflaeger",Politics,"Volume 32, Issue 3",First published:03 September 2012,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9256.2012.01444.x
2251,National and institutional productivity and collaboration in Antarcticscience: an analysis of 25 years of journal publications (1980–2004),Prabir G. Dastidar,Polar Research,"Volume 26, Issue 2",First published:21 June 2007,https://onlinelibrary.wiley.com/doi/10.1111/j.1751-8369.2007.00017.x
2252,Scienceand Technology,Sandra Harding,N/A,N/A,First published:18 August 2017,https://onlinelibrary.wiley.com/doi/10.1002/9781405165419.ch16
2253,The Classroom-Research-Mentoring Framework: A lens for understandingsciencepractice-based instruction,"Alexandra C. Cooper, Molly S. Bolger",ScienceEducation,"Volume 108, Issue 1",First published:19 September 2023,https://onlinelibrary.wiley.com/doi/10.1002/sce.21835
2254,New Directions in Midwifery Education: The Master's ofSciencein Midwifery Degree,"Cindy Farley CNM, PhD, Kathy Camacho Carr CNM, PhD",Journal of Midwifery & Women's Health,"Volume 48, Issue 2",First published:24 December 2010,https://onlinelibrary.wiley.com/doi/10.1016/S1526-9523%2802%2900423-3
2255,Extendingscienceinstruction beyond the CER: Use of critical questions in the argumentation of middle schoolsciencestudents,"E. Michael Nussbaum, Michael S. Van Winkle, Lixian Tian, LeAnn G. Putney, Margarita Huerta, Harsha N. Perera, Ian J. Dove, Alicia N. Herrera, Kristoffer R. Carroll",ScienceEducation,"Volume 108, Issue 5",First published:11 May 2024,https://onlinelibrary.wiley.com/doi/10.1002/sce.21877
2256,Demystifying computersciencefor molecular ecologists,"Mahdi Belcaid, Robert J. Toonen",Molecular Ecology,"Volume 24, Issue 11",First published:31 March 2015,https://onlinelibrary.wiley.com/doi/10.1111/mec.13175
2257,What are they bringing with them? Understanding pastscienceexperiences of preservice elementary teachers and what they mean for thesciencemethods course,Melissa Hulings,Journal of Research inScienceTeaching,"Volume 59, Issue 8",First published:04 March 2022,https://onlinelibrary.wiley.com/doi/10.1002/tea.21763
2258,Applied DevelopmentalScience,"Celia B. Fisher, Nancy A. Busch-Rossnagel, Daniela S. Jopp, Joshua L. Brown",N/A,N/A,First published:26 September 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781118133880.hop206021
2259,"Facing the challenges ofsciencecommunication 2.0: quality, credibility and expertise",Massimiano Bucchi,EFSA Journal,"Volume 17, Issue S1",First published:08 July 2019,https://onlinelibrary.wiley.com/doi/10.2903/j.efsa.2019.e170702
2260,Assessing howsciencefaculty learning communities promote scientific teaching,"Karen L. Sirum, Dan Madigan",Biochemistry and Molecular Biology Education,"Volume 38, Issue 3",First published:19 May 2010,https://onlinelibrary.wiley.com/doi/10.1002/bmb.20364
2261,"Forget compliance, concentrate onscience",N.J. Dent,The Quality Assurance Journal,"Volume 3, Issue 3",First published:17 March 2000,https://onlinelibrary.wiley.com/doi/10.1002/%28SICI%291099-1786%28199809%293%3A3%3C103%3A%3AAID-QAJ71%3E3.0.CO%3B2-5
2262,Proposed NASA budget cuts planetaryscience,Ernie Balcerak,"Eos, Transactions American Geophysical Union","Volume 93, Issue 9",First published:28 February 2012,https://onlinelibrary.wiley.com/doi/10.1029/2012EO090003
2263,The consequences of “school improvement”: Examining the association between two standardized assessments measuring school improvement and studentscienceachievement,"Adam V. Maltese, Craig D. Hochbein",Journal of Research inScienceTeaching,"Volume 49, Issue 6",First published:11 July 2012,https://onlinelibrary.wiley.com/doi/10.1002/tea.21027
2264,"Medicalscience, nursing, and the future",John Wiltshire,Nursing Inquiry,"Volume 5, Issue 3",First published:04 February 2003,https://onlinelibrary.wiley.com/doi/10.1046/j.1440-1800.1998.530187.x
2265,TheScience–Policy Nexus in Collaborative Governance: Use ofSciencein Ecosystem Recovery Planning,Tomas M. Koontz,Review of Policy Research,"Volume 36, Issue 6",First published:13 November 2019,https://onlinelibrary.wiley.com/doi/10.1111/ropr.12362
2266,Media and Public Engagement withScience,Joanna Nurmis,N/A,N/A,First published:04 September 2018,https://onlinelibrary.wiley.com/doi/10.1002/9781118978238.ieml0110
2267,Transformingsciencecommunication through storytelling,"Giorgia Guglielmi, Emil Petersen, Laura Alvarez, Eva Zacharioudaki, Ana Morais, Esther Dorado-Ladera, Mari Kaunisto",FEBS Letters,"Volume 598, Issue 19",First published:02 October 2024,https://onlinelibrary.wiley.com/doi/10.1002/1873-3468.15026
2268,Creative-Becoming Holism: Reflections on and Development of Creative Holism in the Case ofScienceEducation,"Chenjia Xu, Dongping Fan",Systems Research and BehavioralScience,"Volume 42, Issue 1",First published:21 November 2024,https://onlinelibrary.wiley.com/doi/10.1002/sres.3106
2269,MaTableGPT: GPT-Based Table Data Extractor from MaterialsScienceLiterature,"Gyeong Hoon Yi, Jiwoo Choi, Hyeongyun Song, Olivia Miano, Jaewoong Choi, Kihoon Bang, Byungju Lee, Seok Su Sohn, David Buttler, Anna Hiszpanski, Sang Soo Han, Donghun Kim",AdvancedScience,"Volume 12, Issue 16",First published:24 January 2025,https://onlinelibrary.wiley.com/doi/10.1002/advs.202408221
2270,Editors’ Introduction and Review: Visual Narrative Research: An Emerging Field in CognitiveScience,"Neil Cohn, Joseph P. Magliano",Topics in CognitiveScience,"Volume 12, Issue 1",First published:22 December 2019,https://onlinelibrary.wiley.com/doi/10.1111/tops.12473
2271,Philosophy ofSciencein the Twenty-First Century,P.D. Magnus,Metaphilosophy,"Volume 44, Issue 1-2",First published:07 January 2013,https://onlinelibrary.wiley.com/doi/10.1111/meta.12001
2272,Deepening the debate over ‘sustainablescience’: Indigenous perspectives as a guide on the journey,"Lee-Anne Broadhead, Sean Howard",Sustainable Development,"Volume 19, Issue 5",First published:27 September 2011,https://onlinelibrary.wiley.com/doi/10.1002/sd.421
2273,Performative SocialScience,Kip Jones,N/A,N/A,First published:07 November 2017,https://onlinelibrary.wiley.com/doi/10.1002/9781118901731.iecrm0183
2274,The inadequacies of “Sciencefor All” and the necessity and nature of a socially transformative curriculum approach for african Americanscienceeducation,Jomo W. Mutegi,Journal of Research inScienceTeaching,"Volume 48, Issue 3",First published:24 January 2011,https://onlinelibrary.wiley.com/doi/10.1002/tea.20410
2275,Introduction to the Emerging CognitiveScienceof Distributed Human-Autonomy Teams,"Christopher W. Myers, Nancy J. Cooke, Jamie C. Gorman, Nathan J. McNeese",Topics in CognitiveScience,"Volume 16, Issue 3",First published:09 June 2024,https://onlinelibrary.wiley.com/doi/10.1111/tops.12744
2276,Context of teaching and learning schoolsciencein Finland: Reflections on PISA 2006 results,"Jari Lavonen, Seppo Laaksonen",Journal of Research inScienceTeaching,"Volume 46, Issue 8",First published:31 August 2009,https://onlinelibrary.wiley.com/doi/10.1002/tea.20339
2277,Discovering indigenousscience: Implications forscienceeducation,"Gloria Snively, John Corsiglia",ScienceEducation,"Volume 85, Issue 1",First published:05 December 2000,https://onlinelibrary.wiley.com/doi/10.1002/1098-237X%28200101%2985%3A1%3C6%3A%3AAID-SCE3%3E3.0.CO%3B2-R
2278,ForensicSciencePractice in the United States,"Joseph Peterson, Matthew Hickman",N/A,N/A,First published:26 December 2014,https://onlinelibrary.wiley.com/doi/10.1002/9781118724248.ch28
2279,How ecologicalscienceis portrayed in mass media,"Matthew J. Baker, Leilani F. Williams, Andrew H. Lybbert, Jerald B. Johnson",Ecosphere,"Volume 3, Issue 1",First published:26 January 2012,https://onlinelibrary.wiley.com/doi/10.1890/ES11-00238.1
2280,Coloursciencein Göttingen in the 18thCentury,Barry B. Lee,Color Research & Application,"Volume 26, Issue S1",First published:27 December 2000,https://onlinelibrary.wiley.com/doi/10.1002/1520-6378%282001%2926%3A1%2B%3C%3A%3AAID-COL6%3E3.0.CO%3B2-0
2281,Dopaminergic and neurotrophic genetic polymorphisms modulate the implicit gender–sciencestereotype,"Yu L. L. Luo, Jie Chen, Yuqi Wang, Xinying Li, Huajian Cai",PsyCh Journal,"Volume 10, Issue 3",First published:22 February 2021,https://onlinelibrary.wiley.com/doi/10.1002/pchj.428
2282,ACCEPTABILITY CRITERIA FOR WORK IN THEOLOGY ANDSCIENCE,Nancey C. Murphy,Zygon®,"Volume 22, Issue 3",First published:September 1987,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.1987.tb00770.x
2283,Religion andSciencein Taiwan: Rethinking the Connection,Frank E. Budenholzer,Zygon®,"Volume 36, Issue 4",First published:21 January 2004,https://onlinelibrary.wiley.com/doi/10.1111/0591-2385.00394
2284,Consilience in fisheriesscience,"Andrea Sáenz-Arroyo, Callum M Roberts",Fish and Fisheries,"Volume 9, Issue 3",First published:07 August 2008,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-2979.2008.00276.x
2285,ScienceDiplomacy: Introduction to a Boundary Problem,"Carolin Kaltofen, Michele Acuto",Global Policy,"Volume 9, Issue S3",First published:29 November 2018,https://onlinelibrary.wiley.com/doi/10.1111/1758-5899.12621
2286,Interaction rituals and inquiry-basedscienceinstruction: Analysis of student participation in small-group investigations in a multilingual classroom,"Sara E. D. Wilmes, Christina Siry",ScienceEducation,"Volume 102, Issue 5",First published:13 July 2018,https://onlinelibrary.wiley.com/doi/10.1002/sce.21462
2287,"Science, Race, Culture, Empire",Sandra Harding,N/A,N/A,First published:27 February 2008,https://onlinelibrary.wiley.com/doi/10.1111/b.9780631206163.2002.00021.x
2288,Learning to teachsciencein urban schools: Context as content,"Lisa M. Marco-Bujosa, Audrey A. Friedman, Allison Kramer",SchoolScienceand Mathematics,"Volume 121, Issue 1",First published:28 December 2020,https://onlinelibrary.wiley.com/doi/10.1111/ssm.12441
2289,ForensicSciencein Hong Kong,"Sheilah Hamilton, Philip Beh",N/A,N/A,First published:26 December 2014,https://onlinelibrary.wiley.com/doi/10.1002/9781118724248.ch13
2290,My Year as a JeffersonScienceFellow,Darin W. Toohey,"Eos, Transactions American Geophysical Union","Volume 95, Issue 2",First published:14 January 2014,https://onlinelibrary.wiley.com/doi/10.1002/2014EO020003
2291,Comments on USGS draftsciencestrategies,Randy Showstack,"Eos, Transactions American Geophysical Union","Volume 93, Issue 33",First published:14 August 2012,https://onlinelibrary.wiley.com/doi/10.1029/2012EO330004
2292,Engaging students with plantscience: the PlantScienceTREE,"Aurora Levesley, Steve Paxton, Richard Collins, Alison Baker, Celia Knight",New Phytologist,"Volume 203, Issue 4",First published:18 June 2014,https://onlinelibrary.wiley.com/doi/10.1111/nph.12905
2293,"Biostatisticians, biostatisticalscienceand the future",Marvin Zelen,Statistics in Medicine,"Volume 25, Issue 20",First published:23 August 2006,https://onlinelibrary.wiley.com/doi/10.1002/sim.2658
2294,Using historical and political understanding to design for equity inscienceeducation,"Molly V. Shea, Jose Sandoval",ScienceEducation,"Volume 104, Issue 1",First published:21 November 2019,https://onlinelibrary.wiley.com/doi/10.1002/sce.21555
2295,"Scientists' views ofscience, models of writing, andsciencewriting practices","Larry D. Yore, Brian M. Hand, Marilyn K. Florence",Journal of Research inScienceTeaching,"Volume 41, Issue 4",First published:30 March 2004,https://onlinelibrary.wiley.com/doi/10.1002/tea.20008
2296,Religion andSciencein America: Populism versus Elitism,Richard Busse,Zygon®,"Volume 33, Issue 1",First published:26 January 2004,https://onlinelibrary.wiley.com/doi/10.1111/0591-2385.1321998132
2297,CivicScienceand Salmon Recovery Planning in Puget Sound,"Edward P. Weber, Thomas M. Leschine, Jon Brock",Policy Studies Journal,"Volume 38, Issue 2",First published:23 April 2010,https://onlinelibrary.wiley.com/doi/10.1111/j.1541-0072.2010.00360.x
2298,Scienceand Early Modern Literature,Howard Marchitello,N/A,N/A,First published:01 September 2017,https://onlinelibrary.wiley.com/doi/10.1002/9781118458747.ch23
2299,Riskscienceand politics: What is and should be the relationship?,Terje Aven,Risk Analysis,"Volume 45, Issue 2",First published:29 July 2024,https://onlinelibrary.wiley.com/doi/10.1111/risa.16558
2300,ImplementationSciencein the Real World: A Streamlined Model,"Herschel Knapp, Henry D. Anaya",Journal for Healthcare Quality,"Volume 34, Issue 6",First published:20 November 2012,https://onlinelibrary.wiley.com/doi/10.1111/j.1945-1474.2012.00220.x
2301,Dopaminergic and neurotrophic genetic polymorphisms modulate the implicit gender–sciencestereotype,"Yu L. L. Luo, Jie Chen, Yuqi Wang, Xinying Li, Huajian Cai",PsyCh Journal,"Volume 10, Issue 3",First published:22 February 2021,https://onlinelibrary.wiley.com/doi/10.1002/pchj.428
2302,ACCEPTABILITY CRITERIA FOR WORK IN THEOLOGY ANDSCIENCE,Nancey C. Murphy,Zygon®,"Volume 22, Issue 3",First published:September 1987,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.1987.tb00770.x
2303,Religion andSciencein Taiwan: Rethinking the Connection,Frank E. Budenholzer,Zygon®,"Volume 36, Issue 4",First published:21 January 2004,https://onlinelibrary.wiley.com/doi/10.1111/0591-2385.00394
2304,Consilience in fisheriesscience,"Andrea Sáenz-Arroyo, Callum M Roberts",Fish and Fisheries,"Volume 9, Issue 3",First published:07 August 2008,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-2979.2008.00276.x
2305,ScienceDiplomacy: Introduction to a Boundary Problem,"Carolin Kaltofen, Michele Acuto",Global Policy,"Volume 9, Issue S3",First published:29 November 2018,https://onlinelibrary.wiley.com/doi/10.1111/1758-5899.12621
2306,Interaction rituals and inquiry-basedscienceinstruction: Analysis of student participation in small-group investigations in a multilingual classroom,"Sara E. D. Wilmes, Christina Siry",ScienceEducation,"Volume 102, Issue 5",First published:13 July 2018,https://onlinelibrary.wiley.com/doi/10.1002/sce.21462
2307,"Science, Race, Culture, Empire",Sandra Harding,N/A,N/A,First published:27 February 2008,https://onlinelibrary.wiley.com/doi/10.1111/b.9780631206163.2002.00021.x
2308,Learning to teachsciencein urban schools: Context as content,"Lisa M. Marco-Bujosa, Audrey A. Friedman, Allison Kramer",SchoolScienceand Mathematics,"Volume 121, Issue 1",First published:28 December 2020,https://onlinelibrary.wiley.com/doi/10.1111/ssm.12441
2309,ForensicSciencein Hong Kong,"Sheilah Hamilton, Philip Beh",N/A,N/A,First published:26 December 2014,https://onlinelibrary.wiley.com/doi/10.1002/9781118724248.ch13
2310,My Year as a JeffersonScienceFellow,Darin W. Toohey,"Eos, Transactions American Geophysical Union","Volume 95, Issue 2",First published:14 January 2014,https://onlinelibrary.wiley.com/doi/10.1002/2014EO020003
2311,Comments on USGS draftsciencestrategies,Randy Showstack,"Eos, Transactions American Geophysical Union","Volume 93, Issue 33",First published:14 August 2012,https://onlinelibrary.wiley.com/doi/10.1029/2012EO330004
2312,Engaging students with plantscience: the PlantScienceTREE,"Aurora Levesley, Steve Paxton, Richard Collins, Alison Baker, Celia Knight",New Phytologist,"Volume 203, Issue 4",First published:18 June 2014,https://onlinelibrary.wiley.com/doi/10.1111/nph.12905
2313,"Biostatisticians, biostatisticalscienceand the future",Marvin Zelen,Statistics in Medicine,"Volume 25, Issue 20",First published:23 August 2006,https://onlinelibrary.wiley.com/doi/10.1002/sim.2658
2314,Using historical and political understanding to design for equity inscienceeducation,"Molly V. Shea, Jose Sandoval",ScienceEducation,"Volume 104, Issue 1",First published:21 November 2019,https://onlinelibrary.wiley.com/doi/10.1002/sce.21555
2315,"Scientists' views ofscience, models of writing, andsciencewriting practices","Larry D. Yore, Brian M. Hand, Marilyn K. Florence",Journal of Research inScienceTeaching,"Volume 41, Issue 4",First published:30 March 2004,https://onlinelibrary.wiley.com/doi/10.1002/tea.20008
2316,Religion andSciencein America: Populism versus Elitism,Richard Busse,Zygon®,"Volume 33, Issue 1",First published:26 January 2004,https://onlinelibrary.wiley.com/doi/10.1111/0591-2385.1321998132
2317,CivicScienceand Salmon Recovery Planning in Puget Sound,"Edward P. Weber, Thomas M. Leschine, Jon Brock",Policy Studies Journal,"Volume 38, Issue 2",First published:23 April 2010,https://onlinelibrary.wiley.com/doi/10.1111/j.1541-0072.2010.00360.x
2318,Scienceand Early Modern Literature,Howard Marchitello,N/A,N/A,First published:01 September 2017,https://onlinelibrary.wiley.com/doi/10.1002/9781118458747.ch23
2319,Riskscienceand politics: What is and should be the relationship?,Terje Aven,Risk Analysis,"Volume 45, Issue 2",First published:29 July 2024,https://onlinelibrary.wiley.com/doi/10.1111/risa.16558
2320,ImplementationSciencein the Real World: A Streamlined Model,"Herschel Knapp, Henry D. Anaya",Journal for Healthcare Quality,"Volume 34, Issue 6",First published:20 November 2012,https://onlinelibrary.wiley.com/doi/10.1111/j.1945-1474.2012.00220.x
2321,Computational socialscience,Claudio Cioffi-Revilla,Wiley Interdisciplinary Reviews: Computational Statistics,"Volume 2, Issue 3",First published:25 May 2010,https://onlinelibrary.wiley.com/doi/10.1002/wics.95
2322,PolymerScience: From Organic Chemistry to an InterdisciplinaryScience,Yasu Furukawa,N/A,N/A,First published:29 March 2001,https://onlinelibrary.wiley.com/doi/10.1002/9783527612734.ch12
2323,AGU Hosts Leadership Summit on ClimateScienceCommunication,Ann Cairns,"Eos, Transactions American Geophysical Union","Volume 92, Issue 13",First published:29 March 2011,https://onlinelibrary.wiley.com/doi/10.1029/2011EO130007
2324,Special Issue: Grids and Web Services for e-Science,"Tony Hey, Geoffrey Fox",Concurrency and Computation: Practice and Experience,"Volume 17, Issue 2-4",First published:07 February 2005,https://onlinelibrary.wiley.com/doi/10.1002/cpe.955
2325,Behavioralsciencein translational research and cancer control,"Gary R. Morrow Ph.D., M.S., Albert J. Bellg M.A.",Cancer,"Volume 74, Issue S4",First published:15 August 1994,https://onlinelibrary.wiley.com/doi/10.1002/1097-0142%2819940815%2974%3A4%2B%3C1409%3A%3AAID-CNCR2820741603%3E3.0.CO%3B2-6
2326,The enhancement of clinical competence through caringscience,"Rika Levy-Malmberg RN, RNT, PhD, Yvonne Hilli RN, PHN, RNT, PhD",Scandinavian Journal of CaringSciences,"Volume 28, Issue 4",First published:06 December 2013,https://onlinelibrary.wiley.com/doi/10.1111/scs.12104
2327,STEPS TOWARD A COGNITIVESCIENCEOF RELIGION,Lluís Oviedo,Zygon®,"Volume 43, Issue 2",First published:26 May 2008,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2008.00923.x
2328,Perspectives on Modeling in CognitiveScience,Richard M. Shiffrin,Topics in CognitiveScience,"Volume 2, Issue 4",First published:26 March 2010,https://onlinelibrary.wiley.com/doi/10.1111/j.1756-8765.2010.01092.x
2329,Providing complete and integrated informationscienceeducation,Guiseppi A. Forgionne,Systems Research,"Volume 8, Issue 1",First published:March 1991,https://onlinelibrary.wiley.com/doi/10.1002/sres.3850080106
2330,Members Promote ClimateScienceon Capitol Hill,Jeremy Caves,"Eos, Transactions American Geophysical Union","Volume 92, Issue 12",First published:22 March 2011,https://onlinelibrary.wiley.com/doi/10.1029/2011EO120008
2331,"InformalScienceExperience, Attitudes, Future Interest inScience, and Gender of High-Ability Students: An Exploratory Study","Beverly A. Joyce, Stephen J. Farenga",SchoolScienceand Mathematics,"Volume 99, Issue 8",First published:17 March 2010,https://onlinelibrary.wiley.com/doi/10.1111/j.1949-8594.1999.tb17505.x
2332,Altruism: A SocialScienceChameleon,Colin Grant,Zygon®,"Volume 32, Issue 3",First published:07 January 2003,https://onlinelibrary.wiley.com/doi/10.1111/0591-2385.00094
2333,ScienceInterests in Preschool Boys and Girls: Relations to Later Self-Concept andScienceAchievement,"MARY BETH LEIBHAM, JOYCE M. ALEXANDER, KATHY E. JOHNSON",ScienceEducation,"Volume 97, Issue 4",First published:14 June 2013,https://onlinelibrary.wiley.com/doi/10.1002/sce.21066
2334,Preparing students for the modern information landscape and navigatingscience–technology–society issues,"Jerrid Kruse, Sarah Voss, Jaclyn Easter, Isaiah Kent-Schneider, Lucas Menke, David Owens, Kean Roberts, Lindsay Woodward",Journal of Research inScienceTeaching,"Volume 62, Issue 3",First published:19 July 2024,https://onlinelibrary.wiley.com/doi/10.1002/tea.21972
2335,The Anthropocene and the Frameworkfor K–12ScienceEducation,Fred N. Finley,N/A,N/A,First published:11 April 2014,https://onlinelibrary.wiley.com/doi/10.1002/9781118854280.ch2
2336,ON IAN HARBOUR'S ISSUES INSCIENCEAND RELIGION,David Ray Griffin,Zygon®,"Volume 23, Issue 1",First published:March 1988,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.1988.tb00618.x
2337,Scienceand Policy Interfacing,Philippe Quevauviller,N/A,N/A,First published:24 October 2014,https://onlinelibrary.wiley.com/doi/10.1002/9781118629567.ch1d
2338,Participatory Design for CognitiveScience: Examples From the LearningSciencesand Human−Computer Interaction,"Jenny Yun-Chen Chan, Tomohiro Nagashima, Avery H. Closser",CognitiveScience,"Volume 47, Issue 10",First published:11 October 2023,https://onlinelibrary.wiley.com/doi/10.1111/cogs.13365
2339,Scienceinitiative for international development,Randy Showstack,"Eos, Transactions American Geophysical Union","Volume 92, Issue 29",First published:19 July 2011,https://onlinelibrary.wiley.com/doi/10.1029/2011EO290004
2340,A design process for developing agricultural lifescience-focused model eliciting activities,"Jonathan D. Bostic, Quintana M. Clark, Tina Vo, Levon T. Esters, Neil A. Knoblach",SchoolScienceand Mathematics,"Volume 121, Issue 1",First published:29 December 2020,https://onlinelibrary.wiley.com/doi/10.1111/ssm.12444
2341,Failure analysis and prediction for the CIPRESsciencegateway,"Kritika Singh, Shava Smallen, Sameer Tilak, Lawrence Saul",Concurrency and Computation: Practice and Experience,"Volume 28, Issue 7",First published:06 November 2015,https://onlinelibrary.wiley.com/doi/10.1002/cpe.3715
2342,The NationalScienceFoundation and the Philosophy of Chemistry,BRUCE E. SEELY,Annals of the New York Academy ofSciences,"Volume 988, Issue 1",First published:07 July 2009,https://onlinelibrary.wiley.com/doi/10.1111/j.1749-6632.2003.tb06119.x
2343,"Research, Development, andSciencePolicy",,N/A,N/A,First published:15 June 2010,https://onlinelibrary.wiley.com/doi/10.1002/9780470917275.ch17
2344,Brain-ScienceBased Cohort Studies,Hideaki Koizumi,Educational Philosophy and Theory,"Volume 43, Issue 1",First published:07 January 2011,https://onlinelibrary.wiley.com/doi/10.1111/j.1469-5812.2010.00707.x
2345,Assessing data quality in citizenscience,"Margaret Kosmala, Andrea Wiggins, Alexandra Swanson, Brooke Simmons",Frontiers in Ecology and the Environment,"Volume 14, Issue 10",First published:December 2016,https://onlinelibrary.wiley.com/doi/10.1002/fee.1436
2346,Development studies and cross-disciplinarity: Research at the socialscience–physicalscienceinterface,"Andy Sumner, Michael Tribe",Journal of International Development,"Volume 20, Issue 6",First published:28 August 2008,https://onlinelibrary.wiley.com/doi/10.1002/jid.1494
2347,Salvagingscienceliteracy,Noah Feinstein,ScienceEducation,"Volume 95, Issue 1",First published:20 September 2010,https://onlinelibrary.wiley.com/doi/10.1002/sce.20414
2348,InclusiveScienceEducation: Classroom Teacher andScienceEducator Experiences in CLASS Workshops,"Susan A. Kirch, Mary Ellen Bargerhuff, Heidi Turner, Michele Wheatly",SchoolScienceand Mathematics,"Volume 105, Issue 4",First published:09 November 2010,https://onlinelibrary.wiley.com/doi/10.1111/j.1949-8594.2005.tb18157.x
2349,Bringing Back the Person into Behavioural PersonalityScienceUsing Big Data,"Karl-Heinz Renner, Stephanie Klee, Timo von Oertzen",European Journal of Personality,"Volume 34, Issue 5",First published:13 September 2020,https://onlinelibrary.wiley.com/doi/10.1002/per.2303
2350,"Thucydides,Science, and Late Modern Philosophy",Thom Workman,N/A,N/A,First published:28 October 2014,https://onlinelibrary.wiley.com/doi/10.1002/9781118980194.ch27
2351,Applications of Electron Spectroscopy in MaterialsScience,,N/A,N/A,First published:25 March 2003,https://onlinelibrary.wiley.com/doi/10.1002/0470867930.ch5
2352,Integrating SoilScienceinto Primary School Curricula: Students Promote SoilScienceEducation withDig It! The Secrets of Soil,"Andrew J. Margenot, Katelin Alldritt, Susan Southard, Anthony O'Geen",SoilScienceSociety of America Journal,"Volume 80, Issue 4",First published:07 July 2016,https://onlinelibrary.wiley.com/doi/10.2136/sssaj2016.03.0056
2353,Identifying meta-clusters of students' interest inscienceand their change with age,"Ayelet Baram-Tsabari, Anat Yarden",Journal of Research inScienceTeaching,"Volume 46, Issue 9",First published:14 April 2009,https://onlinelibrary.wiley.com/doi/10.1002/tea.20294
2354,Meaningful participation of schools in scientific research through contributory citizenscienceprojects,"Osnat Atias, Yael Kali, Ayelet Shavit, Ayelet Baram-Tsabari",ScienceEducation,"Volume 107, Issue 5",First published:05 June 2023,https://onlinelibrary.wiley.com/doi/10.1002/sce.21800
2355,Unquestioned Answers or Unanswered Questions: Beliefs AboutScienceGuide Responses to Uncertainty in Climate Change Risk Communication,"Anna Rabinovich, Thomas A. Morton",Risk Analysis,"Volume 32, Issue 6",First published:10 February 2012,https://onlinelibrary.wiley.com/doi/10.1111/j.1539-6924.2012.01771.x
2356,Toward assessment for playful learning in early childhood: Influences on teachers'scienceassessment practices,"Cristina Guarrella, Jan van Driel, Caroline Cohrssen",Journal of Research inScienceTeaching,"Volume 60, Issue 3",First published:02 September 2022,https://onlinelibrary.wiley.com/doi/10.1002/tea.21811
2357,A scoping review of complexitysciencein nursing,"Annakarin Olsson RN, PhD, Charlotta Thunborg RPT, PhD, Annica Björkman RN, PhD, Anneli Blom RN, MSc, Fredric Sjöberg RN, MSc, Martin Salzmann-Erikson RN, MHN, PhD",Journal of Advanced Nursing,"Volume 76, Issue 8",First published:13 April 2020,https://onlinelibrary.wiley.com/doi/10.1111/jan.14382
2358,Editorial: Grass and ForageScience– 75 years of impact and service to thescienceof grasslands,"Kevin F. Smith, Anjo Elgersma",Grass and ForageScience,"Volume 75, Issue 4",First published:23 November 2020,https://onlinelibrary.wiley.com/doi/10.1111/gfs.12506
2359,"Scienceexpectancy, value, and cost profiles and their proximal and distal relations to undergraduatescience, technology, engineering, and math persistence","Tony Perez, Stephanie V. Wormington, Michael M. Barger, Rochelle D. Schwartz-Bloom, You-kyung Lee, Lisa Linnenbrink-Garcia",ScienceEducation,"Volume 103, Issue 2",First published:21 January 2019,https://onlinelibrary.wiley.com/doi/10.1002/sce.21490
2360,"Impact of a student–teacher–scientistpartnership on students' and teachers' content knowledge, attitudes towardscience, and pedagogical practices","Ana K. Houseal, Fouad Abd-El-Khalick, Lizanne Destefano",Journal of Research inScienceTeaching,"Volume 51, Issue 1",First published:19 November 2013,https://onlinelibrary.wiley.com/doi/10.1002/tea.21126
2361,Human-supervised datascienceframework for city governments: A designscienceapproach,"Loni Hagen, Mihir Patel, Luis Luna-Reyes",Journal of the Association for InformationScienceand Technology,"Volume 74, Issue 8",First published:24 April 2023,https://onlinelibrary.wiley.com/doi/10.1002/asi.24764
2362,BritishScienceFiction 1990–2017: Technology-Themed Fiction in the Light of the New Millennium and Speculative ‘Singularity’,Grace Halden,N/A,N/A,First published:29 September 2020,https://onlinelibrary.wiley.com/doi/10.1002/9781118902264.ch60
